iter	Passed	Remaining
0	154	154407
1	173	86377
2	189	62896
3	205	51129
4	223	44381
5	239	39670
6	254	36142
7	270	33580
8	285	31487
9	301	29802
10	316	28438
11	330	27239
12	345	26227
13	360	25392
14	375	24687
15	391	24047
16	405	23445
17	420	22942
18	438	22617
19	454	22285
20	471	21993
21	488	21716
22	508	21582
23	523	21280
24	539	21029
25	554	20789
26	569	20532
27	586	20373
28	601	20125
29	615	19910
30	630	19715
31	646	19543
32	660	19361
33	675	19200
34	690	19051
35	707	18943
36	721	18768
37	735	18618
38	749	18469
39	763	18331
40	778	18199
41	797	18190
42	816	18164
43	831	18075
44	849	18029
45	864	17935
46	886	17973
47	902	17903
48	919	17842
49	938	17836
50	957	17824
51	978	17837
52	997	17822
53	1013	17762
54	1027	17647
55	1041	17558
56	1057	17494
57	1073	17429
58	1088	17355
59	1102	17278
60	1117	17202
61	1136	17201
62	1152	17144
63	1167	17076
64	1182	17013
65	1197	16948
66	1211	16867
67	1224	16783
68	1239	16722
69	1254	16666
70	1269	16611
71	1284	16560
72	1300	16519
73	1315	16463
74	1330	16403
75	1343	16332
76	1358	16288
77	1374	16252
78	1389	16203
79	1405	16158
80	1419	16109
81	1434	16055
82	1448	16006
83	1462	15943
84	1476	15893
85	1490	15841
86	1505	15795
87	1519	15747
88	1533	15694
89	1548	15654
90	1562	15611
91	1576	15557
92	1591	15517
93	1606	15479
94	1620	15439
95	1635	15401
96	1650	15367
97	1666	15337
98	1680	15290
99	1693	15242
100	1707	15196
101	1721	15155
102	1735	15115
103	1751	15087
104	1766	15059
105	1781	15027
106	1796	14992
107	1809	14946
108	1822	14897
109	1836	14859
110	1865	14937
111	1888	14975
112	1917	15048
113	1935	15042
114	1958	15074
115	1982	15108
116	2001	15108
117	2025	15139
118	2044	15134
119	2065	15146
120	2090	15185
121	2111	15193
122	2134	15216
123	2156	15231
124	2179	15259
125	2207	15312
126	2229	15322
127	2250	15329
128	2273	15352
129	2296	15368
130	2316	15365
131	2338	15380
132	2356	15363
133	2375	15350
134	2390	15318
135	2405	15280
136	2420	15245
137	2434	15209
138	2450	15176
139	2465	15145
140	2480	15109
141	2494	15073
142	2510	15043
143	2526	15017
144	2543	15000
145	2560	14976
146	2577	14958
147	2594	14938
148	2611	14912
149	2628	14892
150	2645	14876
151	2661	14848
152	2687	14875
153	2705	14862
154	2722	14841
155	2738	14815
156	2754	14788
157	2769	14758
158	2786	14740
159	2802	14715
160	2817	14683
161	2832	14653
162	2849	14629
163	2863	14598
164	2879	14572
165	2895	14547
166	2909	14512
167	2924	14481
168	2938	14447
169	2953	14420
170	2968	14390
171	2984	14366
172	2999	14340
173	3014	14312
174	3030	14284
175	3045	14259
176	3060	14231
177	3076	14207
178	3092	14183
179	3109	14165
180	3125	14142
181	3139	14108
182	3152	14073
183	3166	14044
184	3183	14023
185	3199	14001
186	3216	13981
187	3231	13957
188	3246	13929
189	3261	13904
190	3277	13881
191	3293	13858
192	3309	13837
193	3324	13811
194	3340	13789
195	3354	13760
196	3368	13729
197	3382	13702
198	3397	13677
199	3413	13652
200	3428	13627
201	3443	13601
202	3461	13592
203	3479	13575
204	3499	13570
205	3518	13562
206	3536	13546
207	3553	13531
208	3570	13513
209	3586	13493
210	3603	13473
211	3618	13450
212	3633	13425
213	3648	13398
214	3661	13367
215	3676	13345
216	3691	13320
217	3707	13300
218	3724	13281
219	3740	13262
220	3756	13240
221	3772	13219
222	3787	13196
223	3803	13177
224	3818	13152
225	3833	13129
226	3848	13106
227	3865	13089
228	3881	13068
229	3897	13049
230	3913	13028
231	3927	13002
232	3941	12976
233	3955	12947
234	3970	12925
235	3986	12904
236	4002	12885
237	4018	12866
238	4034	12845
239	4049	12823
240	4064	12801
241	4079	12778
242	4094	12754
243	4108	12730
244	4123	12707
245	4140	12691
246	4156	12672
247	4175	12660
248	4191	12641
249	4208	12626
250	4227	12614
251	4244	12597
252	4260	12579
253	4276	12561
254	4294	12546
255	4310	12526
256	4331	12522
257	4347	12502
258	4362	12481
259	4378	12462
260	4394	12442
261	4410	12424
262	4426	12404
263	4441	12381
264	4455	12358
265	4471	12337
266	4484	12312
267	4498	12287
268	4516	12273
269	4530	12249
270	4545	12226
271	4560	12206
272	4576	12186
273	4592	12167
274	4607	12147
275	4623	12129
276	4638	12107
277	4655	12089
278	4670	12069
279	4685	12048
280	4701	12029
281	4719	12017
282	4737	12003
283	4755	11988
284	4771	11970
285	4793	11966
286	4811	11953
287	4832	11947
288	4848	11929
289	4865	11912
290	4883	11897
291	4899	11879
292	4916	11863
293	4940	11862
294	4957	11847
295	4974	11830
296	4989	11809
297	5005	11790
298	5022	11775
299	5043	11768
300	5057	11744
301	5070	11719
302	5085	11698
303	5099	11676
304	5115	11656
305	5130	11636
306	5145	11615
307	5162	11598
308	5177	11578
309	5192	11557
310	5206	11535
311	5222	11515
312	5235	11491
313	5251	11472
314	5267	11454
315	5282	11433
316	5296	11412
317	5311	11392
318	5326	11370
319	5342	11352
320	5357	11333
321	5372	11311
322	5387	11292
323	5401	11270
324	5415	11247
325	5430	11228
326	5447	11210
327	5462	11191
328	5478	11174
329	5494	11155
330	5508	11134
331	5523	11114
332	5539	11095
333	5553	11074
334	5568	11054
335	5583	11033
336	5596	11010
337	5611	10990
338	5626	10969
339	5640	10950
340	5657	10932
341	5672	10913
342	5688	10895
343	5706	10882
344	5722	10864
345	5738	10846
346	5754	10828
347	5770	10811
348	5785	10791
349	5801	10773
350	5817	10756
351	5836	10744
352	5854	10729
353	5871	10714
354	5888	10698
355	5905	10683
356	5925	10671
357	5941	10654
358	5957	10637
359	5972	10618
360	5989	10601
361	6004	10581
362	6018	10561
363	6033	10542
364	6048	10522
365	6061	10499
366	6076	10480
367	6090	10460
368	6104	10438
369	6119	10418
370	6134	10399
371	6148	10380
372	6164	10362
373	6179	10343
374	6193	10322
375	6207	10301
376	6221	10280
377	6235	10261
378	6250	10241
379	6266	10224
380	6283	10208
381	6299	10191
382	6316	10175
383	6332	10159
384	6349	10143
385	6367	10128
386	6384	10112
387	6400	10096
388	6416	10078
389	6433	10061
390	6449	10045
391	6463	10025
392	6479	10008
393	6494	9989
394	6510	9971
395	6524	9951
396	6538	9931
397	6552	9911
398	6566	9890
399	6581	9872
400	6596	9853
401	6611	9835
402	6626	9815
403	6640	9796
404	6655	9777
405	6672	9762
406	6687	9743
407	6701	9723
408	6715	9704
409	6730	9685
410	6744	9666
411	6759	9647
412	6780	9637
413	6798	9622
414	6815	9607
415	6833	9592
416	6849	9576
417	6867	9562
418	6885	9547
419	6900	9529
420	6916	9512
421	6930	9493
422	6944	9473
423	6958	9453
424	6973	9434
425	6988	9417
426	7004	9399
427	7019	9381
428	7034	9363
429	7049	9345
430	7065	9327
431	7080	9309
432	7100	9298
433	7117	9281
434	7132	9263
435	7146	9244
436	7161	9226
437	7176	9207
438	7193	9192
439	7208	9174
440	7222	9155
441	7236	9135
442	7251	9116
443	7266	9099
444	7282	9083
445	7298	9065
446	7313	9048
447	7328	9029
448	7342	9010
449	7356	8991
450	7370	8972
451	7384	8953
452	7400	8935
453	7415	8918
454	7430	8899
455	7444	8881
456	7459	8863
457	7474	8845
458	7489	8827
459	7505	8810
460	7519	8792
461	7533	8773
462	7547	8753
463	7562	8736
464	7577	8717
465	7593	8701
466	7608	8684
467	7623	8666
468	7638	8647
469	7653	8630
470	7667	8611
471	7681	8593
472	7696	8575
473	7712	8558
474	7727	8540
475	7743	8524
476	7758	8506
477	7772	8488
478	7787	8470
479	7803	8453
480	7819	8436
481	7833	8418
482	7848	8401
483	7862	8382
484	7875	8363
485	7891	8346
486	7907	8329
487	7922	8312
488	7937	8294
489	7952	8277
490	7968	8260
491	7983	8243
492	7998	8225
493	8013	8207
494	8027	8189
495	8040	8170
496	8055	8153
497	8070	8134
498	8084	8117
499	8100	8100
500	8114	8082
501	8129	8064
502	8144	8046
503	8158	8028
504	8171	8009
505	8186	7992
506	8201	7975
507	8217	7958
508	8232	7941
509	8247	7924
510	8261	7906
511	8276	7888
512	8291	7870
513	8304	7852
514	8319	7834
515	8334	7817
516	8348	7799
517	8363	7782
518	8378	7764
519	8393	7747
520	8408	7730
521	8424	7714
522	8446	7703
523	8464	7688
524	8481	7673
525	8497	7657
526	8515	7642
527	8533	7628
528	8552	7614
529	8569	7599
530	8585	7582
531	8601	7566
532	8617	7550
533	8631	7532
534	8646	7515
535	8661	7498
536	8677	7481
537	8693	7465
538	8707	7447
539	8724	7431
540	8739	7415
541	8754	7397
542	8768	7379
543	8784	7363
544	8798	7345
545	8812	7327
546	8827	7310
547	8842	7293
548	8856	7275
549	8871	7258
550	8885	7241
551	8900	7223
552	8915	7206
553	8930	7189
554	8943	7171
555	8957	7153
556	8972	7136
557	8987	7119
558	9002	7102
559	9018	7085
560	9032	7068
561	9047	7051
562	9063	7035
563	9079	7018
564	9094	7002
565	9108	6984
566	9121	6965
567	9137	6949
568	9152	6932
569	9167	6915
570	9183	6899
571	9198	6882
572	9214	6866
573	9232	6851
574	9247	6835
575	9262	6818
576	9277	6801
577	9290	6783
578	9304	6765
579	9318	6748
580	9335	6732
581	9351	6716
582	9366	6699
583	9381	6682
584	9396	6665
585	9410	6648
586	9425	6631
587	9441	6615
588	9459	6600
589	9474	6584
590	9489	6567
591	9504	6550
592	9517	6532
593	9532	6515
594	9547	6498
595	9563	6482
596	9577	6465
597	9592	6448
598	9607	6431
599	9622	6414
600	9637	6398
601	9652	6381
602	9666	6363
603	9682	6347
604	9695	6329
605	9711	6313
606	9726	6297
607	9750	6286
608	9763	6268
609	9781	6253
610	9795	6236
611	9814	6222
612	9834	6208
613	9853	6194
614	9869	6178
615	9883	6161
616	9897	6143
617	9917	6130
618	9939	6117
619	9959	6104
620	9978	6089
621	9996	6074
622	10018	6062
623	10036	6047
624	10055	6033
625	10079	6021
